Símbolo,Setor,Indústria,Preço Atual,Preço Máximo 52 Semanas,Preço Mínimo 52 Semanas,Volume Médio Diário
VZ,Communication Services,Telecom Services,49.065,50.24,38.39,44617380
TXN,Technology,Semiconductors,227.45,231.32,139.95,9834930
T,Communication Services,Telecom Services,28.755,29.79,22.95,50763420
AMGN,Healthcare,Drug Manufacturers - General,372.9832,385.12,261.43,3367140
C,Financial Services,Banks - Diversified,113.65,125.16,55.51,14826540
ABT,Healthcare,Medical Devices,112.52,141.23,105.27,11350720
NEE,Utilities,Utilities - Regulated Electric,93.505,95.56,61.72,8986130
KLAC,Technology,Semiconductor Equipment & Materials,1480.02,1693.35,551.33,1375510
GILD,Healthcare,Drug Manufacturers - General,153.982,157.29,93.37,8522400
BA,Industrials,Aerospace & Defense,243.43,254.35,128.88,6438560
TMO,Healthcare,Diagnostics & Research,504.845,643.99,385.46,2838110
DIS,Communication Services,Entertainment,105.395,124.69,80.1,17350390
ANET,Technology,Computer Hardware,142.85,164.94,59.43,10587900
APH,Technology,Electronic Components,146.25,167.04,56.45,12234810
ISRG,Healthcare,Medical Instruments & Supplies,493.93,609.08,425.0,2567420
CRM,Technology,Software - Application,185.145,329.74,180.24,16028670
TJX,Consumer Cyclical,Apparel Retail,154.265,159.48,112.1,5773500
BLK,Financial Services,Asset Management,1073.24,1219.94,773.74,892130
SCHW,Financial Services,Capital Markets,93.0,107.5,65.88,16454110
ADI,Technology,Semiconductors,336.175,343.96,158.65,4594400
DE,Industrials,Farm & Heavy Construction Machinery,605.485,626.25,404.42,1859600
LOW,Consumer Cyclical,Home Improvement Retail,280.98,293.06,206.39,2802060
UNP,Industrials,Railroads,263.365,265.37,204.66,4713210
PFE,Healthcare,Drug Manufacturers - General,27.38,27.94,20.92,58096640
HON,Industrials,Conglomerates,243.35,245.63,169.04807,4693700
ETN,Industrials,Specialty Industrial Machinery,391.625,408.45,231.85,3654890
QCOM,Technology,Semiconductors,141.91,205.95,120.8,14129550
LMT,Industrials,Aerospace & Defense,649.89,656.34,410.11,1676530
WELL,Real Estate,REIT - Healthcare Facilities,214.1,214.27,130.29,3614690
UBER,Technology,Software - Application,70.45,101.99,60.63,29357050
DHR,Healthcare,Diagnostics & Research,205.77,242.8,171.0,4435760
SYK,Healthcare,Medical Devices,372.955,404.87,329.16,2401480
ACN,Technology,Information Technology Services,220.065,392.02,215.16,6519890
COP,Energy,Oil & Gas E&P,108.93,112.95,79.88,8435430
NEM,Basic Materials,Gold,121.94,134.88,41.23,9928810
BKNG,Consumer Cyclical,Travel Services,4096.32,5839.41,4020.54,560770
PANW,Technology,Software - Infrastructure,163.005,223.61,144.15,17502410
PLD,Real Estate,REIT - Industrial,140.7301,141.95,85.35,3294370
COF,Financial Services,Credit Services,207.32,259.64,143.22,5075900
CB,Financial Services,Insurance - Property & Casualty,330.145,335.6,263.14,2024780
APP,Communication Services,Advertising Agencies,380.375,745.61,200.5,9877920
PH,Industrials,Specialty Industrial Machinery,1010.15,1012.49,488.45,729120
MDT,Healthcare,Medical Devices,97.0,106.33,79.55,9509420
SPGI,Financial Services,Financial Data & Stock Exchanges,413.585,579.05,381.61,5365550
VRTX,Healthcare,Biotechnology,480.24,519.68,362.5,1697230
BMY,Healthcare,Drug Manufacturers - General,59.735,63.33,42.52,14615090
PGR,Financial Services,Insurance - Property & Casualty,206.84,292.99,197.92,3746640
HCA,Healthcare,Medical Care Facilities,537.37,552.9,295.0,1175570
MCK,Healthcare,Medical Distribution,946.575,971.93,585.23,1145480
GLW,Technology,Electronic Components,132.78,136.83,37.31,11974060
CMCSA,Communication Services,Telecom Services,31.69,35.595127,24.133083,31719070
BSX,Healthcare,Medical Devices,76.06,109.5,72.69,27985890
MO,Consumer Defensive,Tobacco,66.355,68.6,52.46,10654010
CEG,Utilities,Utilities - Independent Power Producers,304.31,412.7,161.35,4809750
NOW,Technology,Software - Application,105.58,211.478,98.0,28228230
CME,Financial Services,Financial Data & Stock Exchanges,302.9,309.35,244.43,2642620
SBUX,Consumer Cyclical,Restaurants,94.71,117.46,75.5,8208580
ADBE,Technology,Software - Application,258.95,464.33,251.1,6927740
INTU,Technology,Software - Application,381.02,813.7,376.53,5049260
