Ticker,Setor,Indústria,Preço Atual,Preço Máximo 52 Semanas,Preço Mínimo 52 Semanas,Volume Médio Diário,Market Cap,P/L,P/L Futuro,P/VP,PEG Ratio,Margem Lucro,ROE,ROA,Crescimento Receita,Dividend Yield,Beta,Dívida/Patrimônio,Short Ratio
WAB,Industrials,Railroads,263.66,266.0608,151.81,1177690,45074571264,38.546783,22.369793,4.0369925,,0.104770005,0.11096,0.06064,0.148,0.4,1.015,53.021,2.82
FITB,Financial Services,Banks - Regional,49.875,55.44,32.25,9582290,44889915392,14.128896,10.073458,1.6526392,,0.30186,0.121929996,0.0117999995,0.115,3.16,0.977,,4.67
DAL,Industrials,Airlines,68.755,76.39,34.74,8026830,44906000384,8.975848,8.250999,2.1419003,,0.078990005,0.27693,0.04502,0.029,1.12,1.338,102.498,2.05
KR,Consumer Defensive,Grocery Stores,68.525,74.9,58.6,7078900,45410025472,60.641594,12.95185,5.5539794,,0.0053600003,0.07997,0.05192,0.007,2.01,0.629,357.991,4.97
CCL,Consumer Cyclical,Travel Services,31.285,34.03,15.07,20271720,43245789184,15.487624,11.052271,3.3413436,,0.10366999,0.25632998,0.05409,0.066,0.49,2.442,227.882,2.12
CBRE,Real Estate,Real Estate Services,146.41,174.27,108.45,4664540,43570589696,38.028572,16.797459,4.8012724,,0.02853,0.13572,0.02927,0.118,,1.314,106.244,2.14
SYY,Consumer Defensive,Food Distribution,89.675,91.85,67.12,4248520,42950500352,24.172506,17.675743,18.81267,,0.021760002,0.82345,0.08505,0.03,2.42,0.602,640.248,3.4
PEG,Utilities,Utilities - Regulated Electric,85.35,91.26,74.67,2207220,42602790912,20.516827,19.419573,2.5039606,,0.17768,0.12579,0.03364,0.221,2.92,0.616,138.209,2.63
AIG,Financial Services,Insurance - Diversified,79.085,88.07,71.25,4251240,42672373760,14.564457,8.9364,1.0345887,,0.11634,0.07399,0.0173,-0.072,2.25,0.598,24.408,1.47
EL,Consumer Defensive,Household & Personal Products,115.95,121.64,48.37,4047030,41942249472,,38.24814,10.402835,,-0.012130001,-0.04341,0.04423,0.056,1.24,1.106,232.945,2.66
AMP,Financial Services,Asset Management,459.785,550.18,396.14,898050,42716651520,14.559373,9.865573,6.4073496,,0.18841,0.60508,0.02266,0.086,1.41,1.251,57.597,5.16
COIN,Financial Services,Financial Data & Stock Exchanges,158.62,444.65,139.36,15066970,42773086208,35.644943,26.578417,2.8718858,,0.1831,0.10055,0.0355,-0.222,,3.703,53.119,2.22
KDP,Consumer Defensive,Beverages - Non-Alcoholic,30.735,36.12,25.03,10416450,41756053504,26.495691,13.296906,1.6488734,,0.09781,0.06291,0.041490003,0.107,3.09,0.355,73.567,3.68
MLM,Basic Materials,Building Materials,691.505,710.97,441.95,680390,41702690816,35.498203,29.776833,4.157153,,0.18488,0.10159001,0.049889997,0.086,0.49,1.141,59.866,5.29
VMC,Basic Materials,Building Materials,313.94,331.09,215.08,1422070,41481175040,37.02123,28.622095,4.8094244,,0.13559,0.12972,0.057789996,0.032,0.67,1.055,57.785,5.33
MCHP,Technology,Semiconductors,76.485,83.35,34.13,8986110,41391452160,,28.811747,6.309494,,-0.01574,-0.010930001,0.011569999,0.156,2.38,1.438,82.382,2.9
